Time	Day	Name	Location	Address	City	State	Country	Region	Types	Notes
12:00 AM		FOGLIFTERS-FIFTH AVENUE	Fifth Av Presbyterian Church	"7 West 55th Street, 5th Floor"	New York	NY	US	M	<br>	Cross street: (@ 5th Avenue)<br>Notes: Monday thru Thursday Beginners Meeting 5th floor<br>Monday thru Thursday Open Discussion 3rd floor<br>Wednesday Step Meeting 
12:00 AM		THE 12th STREET WORKSHOP		"411 East 12th Street, Basement"	NULL	NULL	US	M	<br>	"Cross street: (Betw 1st Avenue & Avenue A)<br>Notes: Sun.4:30=Business Mtg Only 1st & Anniv Last Sunday<br>Sun.7:30pm,Tue.5:30,Wed.8:30pm & Sat.10:30am=11th Step Meditation<br>Mon.5:30=Gratitude & Sat.7:30am=AA Grapevine"
12:00 AM		BURNSIDE	King of Glory Tabernacle	2019 Grand Avenue	NULL	NULL	US	BX	<br>	"Cross street: Btw Burnside Ave & West Tremont Ave<br>Notes: In Basement<br>1st Thurs B, 2nd Thurs S, 3rd Thurs OD, 4th Thurs BB or Anniversary<br>If 5th Thurs, Tradition"
12:00 AM		BURNSIDE	King of Glory Tabernacle	2019 Grand Avenue	NULL	NULL	US	BX	<br>	"Cross street: Btw Burnside Ave & West Tremont Ave<br>Notes: In Basement<br>1st Thurs B, 2nd Thurs S, 3rd Thurs OD, 4th Thurs BB or Anniversary<br>If 5th Thurs, Tradition"
12:00 AM		FOGLIFTERS-FIFTH AVENUE	Fifth Av Presbyterian Church	"7 West 55th Street, 5th Floor"	New York	NY	US	M	<br>	Cross street: (@ 5th Avenue)<br>Notes: Monday thru Thursday Beginners Meeting 5th floor<br>Monday thru Thursday Open Discussion 3rd floor<br>Wednesday Step Meeting 
12:00 AM		"HAPPY, JOYOUS AND FREE"	Manhattan Church of The Seventh-day Adventist	232 West 11th Street	NULL	NULL	US	M	<br>	Cross street: Between Waverly Place and West 4th Street<br>Notes: Topic Meeting for gay men approaching and over 40. All are welcome.<br><br>
12:00 AM		OXFORD  (:I)	Church of St. Matthew & St. Timothy	26 West 84th Street	New York	NY	US	M	<br>	Cross street: (Betw. Central Park West & Columbus Avenue)<br>Notes: Interpreted for the Deaf and Hard of Hearing<br>No meetings on holidays<br>On Ground Floor Mon. & Wed.; Basement on Thurs.
6:00 PM		HOBOKEN BEGINNERS SUNDAY STEPS	Boys & Girls Club	123 Jefferson Street	NULL	NULL	US	NJ	S = Step meeting<br>Beginners Workshop	Cross street: (Betw. 1st & 2nd Streets)<br>Notes: Beginners' Step Meeting<br><br>
8:00 PM		ODNOWA  (REGENERATION)	St. Stanislaus Kostka Church Rectory	189 Driggs Avenue	NULL	NULL	US	BK	C = Closed Discussion meeting<br>Polish Speaking	"Cross street: (@ Humboldt Street, entrance to building is behind Church)<br>Notes: OD 1st & 3rd Sat.<br>POLISH SPEAKING MEETING<br>"
8:30 PM		STONY POINT CANDLELIGHT GROUP        (:I)	New Immaculate Conception Church	Buckberg Road off of Route 9W	Stony Point	NY	US	R	C = Closed Discussion meeting<br>	"Cross street: Meeting is in Tomkin's Cove, NY<br>Notes: <br><br>"
10:00 AM	Sunday	EYE OPENER	Project Hospitality	"100 Central Avenue, Cafeteria"	Staten Island	NY	US	SI	BB = Big Book meeting<br>	Cross street: <br>Notes: <br><br>
10:00 AM	Sunday	STICK WITH THE WINNERS	St. Mary Gate of Heaven Church	"104-06 101st Avenue @ 103rd Street, Basement"	Ozone Park	NY	US	Q	S = Step meeting<br>	"Cross street: Meeting is in Ozone Park<br>Notes: T Last Sunday, Open Meeting  Last Wednesday<br><br>"
10:00 AM	Sunday	CORNWALL CANTERBURY TALES	Munger Cottage	River Light Park	Cornwall	NY	US	O	B = Beginners meeting<br>	Cross street: <br>Notes: <br><br>
10:00 AM	Sunday	WEEKENDERS	14th Street Y	344 East 14th Street	NULL	NULL	US	M	S = Step meeting<br>	Cross street: (Betw. 1st & 2nd Avenues)<br>Notes: Please Do Not Call the Y for Meeting Info.<br><br>
10:00 AM	Sunday	HERKIMER SPONSORS	St. John's Inter-Faith Hospital	"1545 Atlantic Avenue, 1st Floor Cafeteria"	Brooklyn	NY	US	BK	O = Open meeting<br>	Cross street: (Betw Troy & Albany Avenues<br>Notes: <br><br>
10:00 AM	Sunday	YONKERS THE BETTER WAY	Irish Community Centre	990 McClean Avenue	NULL	NULL	US	W	O = Open meeting<br>	Cross street: (Across from St. Barnabas)<br>Notes: <br><br>
10:00 AM	Sunday	GRUPO HONESTIDAD		38-21 99th Street	Corona	NY	US	Q	O = Open meeting<br>Spanish Speaking	Cross street: (@39th Avenue)<br>Notes: Spanish speaking meetings.<br>Sun.5pm=Women's meeting (Mujeres Domingos).<br>
10:00 AM	Sunday	ASTORIA WORKSHOP	St.Margaret Mary Church	"9-18 27th Avenue, Second Floor"	Astoria	NY	US	Q	C = Closed Discussion meeting<br>	"Cross street: (Betw 12th and 9th Streets)<br>Notes: NOTE: last Wednesday, Tradition<br>NOTE: PARKING AVAILABLE<br>"
10:00 AM	Sunday	SUNDAY 103	Baxter Halfway House	81-30 Baxter Avenue	NULL	NULL	US	Q	BB = Big Book meeting<br>	Cross street: (Elmhurst)<br>Notes: <br><br>
10:00 AM	Sunday	BRIDGE TO SOBRIETY (:II)	Holy Rood Church	715 West 179th Street	NULL	NULL	US	M	S = Step meeting<br>	Cross street: corner of Fort Washington Avenue<br>Notes: 10th Step<br><br>
10:00 AM	Sunday	LIVING NOW	Theatre 80	"80 St. Mark's Place, 2nd Floor"	New York	NY	US	M	OD = Open Discussion meeting<br>	"Cross street: (Betw. 1st & 2nd Avenues)<br>Notes: Tue.7pm=4th & 5th Step Workshop, **Beginners 3 speaker panel<br>Sat.& Sun.10am Meeting is in the main theatre.<br>"
10:00 AM	Sunday	SUNDAY ON 70TH	Lenox Hill Neighborhood House	331 E 70th St	NY	NY	US	M	B = Beginners meeting<br>	Cross street: (Betw 1st & 2nd Avenues)<br>Notes: <br><br>
10:00 AM	Sunday	SEVENTY-NINTH STREET WORKSHOP	St. Monica's Church	"413 East 79th Street,  Basement"	New York	NY	US	M	S = Step meeting<br>	"Cross street: (Betw 1st & York Avenues)<br>Notes: Sun.10am=11th S, Tue.6am=Came To Believe<br>Thu.6am=Step & Trad.<br>"
10:00 AM	Sunday	KINGSTON A VISION FOR YOU	LGBT Center	300 Wall Street	NULL	NULL	US	SGU	B = Beginners meeting<br>	Cross street: <br>Notes: Step First & BB Last Sunday<br><br>
10:00 PM	Sunday	NINETY-SIXTH STREET WORKSHOP	Holy Name Church	"207 West 96th Street, Basement, Little Room"	New York	NY	US	M	T = Tradition meeting<br>	"Cross street: (Betw Amsterdam & Broadway)<br>Notes: <br>Anniv. Last Thursday, Fri=Promises, Sat=As Bill Sees It<br>"
10:00 PM	Sunday	SEVENTY-NINTH STREET WORKSHOP	St. Monica's Church	"413 East 79th Street,  Basement"	New York	NY	US	M	C = Closed Discussion meeting<br>	"Cross street: (Betw 1st & York Avenues)<br>Notes: Sun.10am=11th S, Tue.6am=Came To Believe<br>Thu.6am=Step & Trad.<br>"
10:00 PM	Sunday	MIDNITE		"220 West Houston Street, 2nd Floor"	NULL	NULL	US	M	C = Closed Discussion meeting<br>	"Cross street: (Betw 6th Avenue & Varick Street)<br>Notes: Sun.12:30=Meditation, 2am Meetings=Pitch meeting with candlelight.<br>Mon.8pm=Topic, Tues.10pm=T last Tues., Thu.10pm=Problems in Sobriety<br>Sun.8pm=Bus.Meeting last Sun.,Sat.10pm=Anniv.Last"
10:15 AM	Sunday	ORANGEBURGH SOS GROUP	Rockland County Psychiatric Center	"140 Old Orangeburg Road, Rear entrance"	NULL	NULL	US	R	OD = Open Discussion meeting<br>	Cross street: Group meets in the Catholic Chapel library.<br>Notes: <br><br>
10:15 AM	Sunday	LIVING NOW	Theatre 80	"80 St. Mark's Place, 2nd Floor"	New York	NY	US	M	C = Closed Discussion meeting<br>	"Cross street: (Betw. 1st & 2nd Avenues)<br>Notes: Tue.7pm=4th & 5th Step Workshop, **Beginners 3 speaker panel<br>Sat.& Sun.10am Meeting is in the main theatre.<br>"
10:15 AM	Sunday	FIRST THINGS FIRST	Holy Name Church	"207 West 96th Street, Basement, Little Room"	New York	NY	US	M	T = Tradition meeting<br>	Cross street: (Betw. Amsterdam Avenue & Broadway)<br>Notes: Last Sat. of month at 10:15 = anniversary meeting<br><br>
10:30 AM	Sunday	SUNDAY MEN'S TOPIC	West Side YMCA	5 West 63rd Street	New York	NY	US	M	C = Closed Discussion meeting<br>Men	Cross street: (Betw. Central Park West & Broadway)<br>Notes: Men's Meeting<br><br>
