boro	zone	groupid	groupname	Date of Last Contact (from 7/22/16 Meeting Book file)	city	state	zipcode	Note																	
C		90100	DANBURY WEDNESDAY NOON	09/13/1988	Danbury	CT	6810																		
NJ		140245	JERSEY CITY DOWN TOWN SUNDAY NIGHT	10/03/1989	Jersey City	NJ	7302																		
NJ		140280	PARAMUS EVERGREEN	03/05/1990	Paramus	NJ	7652																		
C		90180	MIDDLETOWN STEPS TO SERENITY	04/23/1990	Middletown	CT	6457																		
NJ		140200	HARRISON THURSDAY NIGHT	07/20/1990	Harrison	NJ	7029																		
R		100300	NANUET 12 AND 12 GROUP	09/26/1990	Pearl River	NY	10965																		
NJ		140310	PORT NEWARK THURSDAY NITE	12/24/1990	Pt Newark/Eliz	NJ	7201																		
M	3	11900	GRUPO GRATITUD	03/30/1992	New York	NY	10011																		
SGU		131500	GREENVILLE 12 STEPS UP	06/18/1992	Greenville	NY	12083																		
SGU		133500	MOUNTAINDALE GROUP	06/19/1992	Mountaindale	NY	12762																		
O		110600	SPARROW BUSH PORT JERVIS TRIANGLE GROUP	08/03/1992	Sparrow Bush	NY	12780																		
C		90125	DARIEN PASS IT ON	12/08/1992	Darien	CT	6820																		
C		90170	GREENWICH ST. BARNABAS	01/15/1993	Greenwich	CT	6830																		
SGU		132000	KINGSTON ORIGINAL GROUP (:I)	01/25/1993	Kingston	NY	12401																		
C		90240	NORWALK NO BOOZE	02/19/1993	Norwalk	CT	6852																		
O		110375	MIDDLETOWN CAME TO BELIEVE	05/12/1993	Middletown	NY	10940																		
C		90220	NORWALK	06/07/1993	Norwalk	CT	6851																		
SGU		132500	MONTICELLO	06/07/1993	Monticello	NY	12701																		
SGU		132001	KINGSTON ORIGINAL GROUP (:II)	07/19/1993	Kingston	NY	12401																		
C		90290	WOODBRIDGE NEW BEGINNINGS	08/26/1993	Woodbridge	CT	6525																		
SGU		133000	MONTICELLO 12 O'CLOCK HIGH	09/28/1993	Monicello	NY	12701																		
BX	3	20650	GRUPO 28 DE OCTUBRE	10/18/1993	Bronx	NY	10459																		
BX	4	20670	GRUPO 4 DE FEBRERO	01/12/1994	Bronx	NY	10472																		
NJ		140210	HOBOKEN BOWERY BOYS MEN'S GROUP	02/09/1994	Hoboken	NJ	7030																		
SGU		134000	PHOENICIA SATURDAY NITE LIVE	06/13/1994	Phoenicia	NY	12464																		
BK	1	31220	GRUPO UNIDOS PODEMOS	10/07/1994	Brooklyn	NY	11206																		
NJ		140100	EAST ORANGE BRICK CHURCH	12/22/1994	East Orange	NJ	7017																		
C		90250	NORWALK RECOVERY UNLIMITED	01/23/1995	Norwalk	CT	6855																		
NJ		140225	HOBOKEN SUNDAY BIG BOOK STUDY	12/18/1995	Hoboken	NJ	7030																		
Q	3	51950	NEW BEGINNINGS	12/29/1995	Maspeth	NY	11378																		
Q	7	51970	NEW FREEDOM	03/13/1996	S Ozone Pk	NY	11420																		
O		110550	PINE BUSH GARAGE	04/05/1996	Pine Bush	NY	12518																		
NJ		140260	MONTCLAIR DOWN TO EARTH	07/03/1996	Montclair	NJ	7042																		
BK	5	31080	GRUPO EL PARAISO	08/09/1996	Brooklyn	NY	11220																		
NJ		"In meeting book, not originally in Web DB, had to be added"	SEA GIRT ST. URIEL	09/18/1996		NJ	8750																		
SGU		130000	BLOOMINGBURG BOTTOM OF THE MOUNTAIN	03/19/1997	Bloomingburg	NY	12721																		
BK	1	31180	GRUPO SOBRIEDAD LIBRO GRANDE	05/06/1997	Brooklyn	NY	11206																		
BX	2	20760	GRUPO MI AMIGO	06/10/1997	Bronx	NY	10457																		
Q	6	"In meeting book, not originally in excel file, had to be added"	SOBRIETY IN BRIARWOOD	06/16/1997		NY	11435																		
Q	6	52698	SOBRIETY ON SUTPHIN	06/18/1997	Jamaica	NY	11436																		
C		90190	MILFORD WEDNESDAY AT NOON	06/18/1997	Milford	CT	6460																		
BX	2	20840	GRUPO UNIDAD Y AMOR	06/27/1997	Bronx	NY	10452																		
Q	6	52100	OPEN MIND-OPEN DISCUSSION	07/08/1997	Jamaica	NY	11432																		
Q	9	53155	WOMEN IN SOBRIETY	07/14/1997	Far Rockaway	NY	11691																		
M	5	12830	MEDITATION SATURDAY NIGHT	09/01/1997	New York	NY	10016																		
O		110150	CORNWALL-ON-HUDSON SERENITY SUNDAY NIGHT	01/19/1999	Cornwall/Hudson	NY	12520																		
Q	10	51920	MIDDLE VILLAGE	01/26/1999	Middle Village	NY	11379																		
PD		120120	BREWSTER MIDDLEBRANCH RECOVERY (:I)	04/26/1999	Carmel	NY	10512																		
PD		120121	BREWSTER MIDDLEBRANCH RECOVERY (:II)	04/26/1999	Brewster	NY	10509																		
Q	10	50750	CYPRESS SALVATION DAY GROUP	01/12/2000	Ridgewood	NY	11385																		
PD		120360	MAHOPAC FOOTSTEPS TO SERENITY	03/27/2000	Mahopac	NY	10541																		
M	6	13720	PROMISES PROMISES	03/29/2000	New York	NY	10023																		
O		110485	MONTGOMERY 17K GROUP	05/13/2000	Montgomery	NY	12549																		
PD		120135	CARMEL COURAGE TO CHANGE	05/23/2000	Carmel	NY	10512																		
PD		120570	PUTNAM MID-DAY PROMISES	06/12/2000	Carmel	NY	10512																		
O		110125	CORNWALL CANTERBURY TALES	09/11/2000	Cornwall	NY	12520																		
PD		120125	BREWSTER RECOVERY	09/11/2000	Brewster	NY	10509																		
M	5	11180	COURAGE TO CHANGE	10/13/2000	New York	NY	10016																		
NJ		140190	HACKENSACK ORITANI	12/20/2000	Hackensack	NJ	7606																		
M	10	11940	GRUPO LIBERTAD	03/19/2001	New York	NY	10033																		
BK	3	32820	TUESDAY NITE DISCUSSION	03/19/2001	Brooklyn	NY	11233																		
PD		120270	GARRISON HAVE A DESIRE	04/20/2001	Garrison	NY	10524																		
Q	6	53110	WE CAN DO IT TOGETHER	08/08/2001	Jamaica	NY	11412																		
PD		120560	PUTNAM LAKE (:I)	08/22/2001	Brewster	NY	10509																		
PD		120561	PUTNAM LAKE (:II)	08/22/2001	Putnam Lake	NY	12563																		
SGU		135000	WURTSBORO SULLIVAN STREET	08/31/2001	Wurtsboro	NY	12790																		
Q	3	50720	CORONA	10/16/2001	Corona	NY	11368																		
BK	5	32740	THIRD STEP DISCUSSION	10/30/2001	Brooklyn	NY	11209																		
M	7	13240	NEW CHOICES	11/06/2001	New York	NY	10028																		
Q	4	51390	H.O.W.	11/30/2001	Flushing	NY	11358																		
Q	6	51800	LINDEN-ST. ALBANS	01/07/2002	St. Albans	NY	11412																		
M	6	11031	CLASSEN HALL (:II)	01/16/2002	New York	NY	10023																		
O		110275	HARRIMAN WOODBURY/TUTHILL	02/01/2002	Harriman	NY	10926																		
BX	3	20720	GRUPO HISPANO	02/11/2002	Bronx	NY	10459																		
M	4	14520	ST. THOMAS A.M.	08/14/2002	New York	NY	10019																		
Q	6	52760	SPRUCE	09/06/2002	Jamaica	NY	11412																		
M	3	15375	WHOLESALE MIRACLES	12/16/2002			10009																		
M	3	12765	MADISON PARK BEGINNERS	01/29/2003	New York	NY	10010																		
M	7	11467 	FEARLESS	03/10/2003			10028																		
O		110500	NEW WINDSOR CHAPEL HILL STEP	04/24/2003	New Windsor	NY	12553																		
M	6	15140	WAY OF LIFE	05/06/2003	New York	NY	10023																		
Q	6	50110	A FRESH WAY TO START A DAY	06/09/2003	Sprfld Gardens	NY	11434																		
M	7	14820	THREE TWELVES	10/01/2003	New York	NY	10128																		
O		110175	GOSHEN CUP 'N' SAUCER	10/14/2003	Goshen	NY	10924																		
